headline,date,web_url,lead_paragraph,section,keywords
Pelosi Wants F.B.I. to Investigate Pro-Palestinian Protesters,2024-01-28T23:40:18+0000,https://www.nytimes.com/2024/01/28/us/politics/nancy-pelosi-fbi-russia-gaza-protesters.html,"Representative Nancy Pelosi, Democrat of California and the former House speaker, on Sunday called for the F.B.I. to investigate protesters demanding a cease-fire in the Israel-Hamas conflict, suggesting without evidence that some activists may have ties to Russia and President Vladimir V. Putin.",U.S.,"['Israel-Gaza War (2023- )', 'Palestinians', 'United States Politics and Government']"
Details Emerge on U.N. Workers Accused of Aiding Hamas Raid,2024-01-29T01:36:39+0000,https://www.nytimes.com/2024/01/28/world/middleeast/gaza-unrwa-hamas-israel.html,"One is accused of kidnapping a woman. Another is said to have handed out ammunition. A third was described as taking part in the massacre at a kibbutz where 97 people died. And all were said to be employees of the United Nations aid agency that schools, shelters and feeds hundreds of thousands of Palestinians in the Gaza Strip.",World,"['Israel-Gaza War (2023- )', 'Palestinians', 'International Relations']"
Monday Briefing,2024-01-29T05:04:05+0000,https://www.nytimes.com/2024/01/29/briefing/jordan-israel-gaza-sundance.html,Three U.S. service members were killed in Jordan yesterday and at least 34 others were injured in what the U.S. said was a drone strike from an Iran-backed militia. The deaths were the first U.S. military fatalities from hostile fire in the turmoil spilling over from Israel’s war with Hamas in Gaza.,Briefing,[]
"In the Race to Replace George Santos, National Issues Reverberate",2024-01-29T08:00:20+0000,https://www.nytimes.com/2024/01/29/nyregion/suozzi-mazi-pilip-santos.html,The Israel-Hamas war. Abortion rights. Immigration policy.,New York,"['United States Politics and Government', 'Elections, House of Representatives', 'Political Advertising', 'Immigration and Emigration', 'Israel-Gaza War (2023- )', 'Abortion']"
She Issued a Call to ‘#MakeJewishBabies.’ Some Are Taking It Seriously.,2024-01-29T10:00:22+0000,https://www.nytimes.com/2024/01/29/style/jewish-women-children.html,"Marrying a Jewish man — and having Jewish children — wasn’t a top priority for Irina Barskaya. Despite pressure from her mother and her older sister, Ms. Barskaya, a 33-year-old hair and makeup artist from Brooklyn, said that in her search for Mr. Right, religion was “never at the forefront.”",Style,"['Jews and Judaism', 'Israel-Gaza War (2023- )', 'War Crimes, Genocide and Crimes Against Humanity', 'Birth Rates', 'Parenting']"
Domicide: The Mass Destruction of Homes Should Be a Crime Against Humanity,2024-01-29T10:01:52+0000,https://www.nytimes.com/interactive/2024/01/29/opinion/destruction-of-homes-crime-domicide.html,"What has happened to homes and lives in Gaza is a stand-alone crime. Even if it is physically rebuilt, the trauma of losing homes will last for decades.",Opinion,"['Israel-Gaza War (2023- )', 'War Crimes, Genocide and Crimes Against Humanity', 'Human Rights and Human Rights Violations', 'Palestinians', 'Buildings (Structures)', 'Infrastructure (Public Works)']"
"Biden Vows to Retaliate, and a Super Bowl Rematch",2024-01-29T11:00:14+0000,https://www.nytimes.com/2024/01/29/us/biden-jordan-super-bowl.html,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",U.S.,"['Football', 'Super Bowl', 'United States Politics and Government', 'Genetic Engineering', 'Surveillance of Citizens by Government']"
Gaza’s Food Crisis,2024-01-29T11:50:19+0000,https://www.nytimes.com/2024/01/29/briefing/gaza-food-crisis.html,Mothers in Gaza are struggling to find clean water and baby formula for their newborns. Families are selling their possessions to buy sacks of flour. Some people are eating animal feed to survive.,Briefing,"['internal-storyline-no', 'Israel-Gaza War (2023- )']"
Iran Denies Ordering Drone Strike as Biden Weighs a Response,2024-01-29T13:01:37+0000,https://www.nytimes.com/2024/01/29/world/middleeast/iran-us-troops-jordan.html,"The deaths of three U.S. soldiers in a drone strike in Jordan — the first-known American military fatalities from hostile fire in the widening Middle East crisis — are likely to increase pressure on President Biden, who has tried to limit the American response in order to keep regional tensions from spreading further.",World,"['Israel-Gaza War (2023- )', 'Drones (Pilotless Planes)']"
"Mix-Up Preceded Deadly Drone Strike in Jordan, U.S. Officials Say",2024-01-29T17:42:56+0000,https://www.nytimes.com/2024/01/29/world/middleeast/jordan-drone-strike-us-soldiers.html,"Air defenses failed to stop an attack on a U.S. military outpost in Jordan on Sunday that killed three American soldiers at least in part because the hostile drone approached its target at the same time an American drone was returning to the base, two U.S. officials said on Monday.",World,"['Israel-Gaza War (2023- )', 'United States Defense and Military Forces', 'Deaths (Fatalities)', 'Drones (Pilotless Planes)', 'Terrorism']"
Hate Crimes Reported in Schools Nearly Doubled Between 2018 and 2022,2024-01-29T18:36:40+0000,https://www.nytimes.com/2024/01/29/us/hate-crimes-schools-universities.html,"The number of reported hate crimes in schools and colleges nearly doubled between 2018 and 2022, according to data released Monday by the F.B.I.",U.S.,"['Hate Crimes', 'Education (K-12)', 'Israel-Gaza War (2023- )', 'Muslim Americans', 'Black People', 'Blacks', 'Race and Ethnicity', 'Anti-Semitism', 'Colleges and Universities']"
U.N. to Study Reports of Sexual Violence in Israel During Oct. 7 Attack,2024-01-29T19:21:42+0000,https://www.nytimes.com/2024/01/29/world/middleeast/israel-hamas-sexual-violence-un.html,A United Nations team has arrived in Israel to examine reports of sexual violence during the Hamas-led attack on Oct. 7 even as Hamas and some critics of Israel continue to reject evidence that such assaults occurred.,World,"['Sex Crimes', 'Israel-Gaza War (2023- )', 'Terrorism', 'Civilian Casualties']"
Heavy Rain and Cold Worsen Conditions for Palestinians in Gaza,2024-01-29T21:39:29+0000,https://www.nytimes.com/video/world/middleeast/100000009287505/gaza-rain.html,"Days of torrential rains have exacerbated the dire humanitarian crisis in Gaza, where tens of thousands of people are displaced.",World,"['Palestinians', 'Refugees and Displaced Persons', 'Rain', 'Israel-Gaza War (2023- )']"
U.N. Agency for Palestinians Imperiled by Terrorism Charges,2024-01-29T22:52:39+0000,https://www.nytimes.com/2024/01/29/world/middleeast/unrwa-israel-gaza-terrorism.html,Leaders of the largest United Nations agency in Gaza warned on Monday that it may soon run out of money as new allegations emerged about Hamas’s influence on the organization.,World,"['Israel-Gaza War (2023- )', 'Palestinians', 'Terrorism', 'Refugees and Displaced Persons']"
Officials Propose to Hamas a Six-Week War Pause and a Hostage-Prisoner Swap,2024-01-30T00:01:43+0000,https://www.nytimes.com/2024/01/30/us/politics/israel-hamas-gaza-hostages.html,"Representatives from four nations have agreed to have Qatar present a nascent framework to Hamas that proposes a six-week pause in the war in Gaza for Hamas to exchange some hostages for Palestinian prisoners held by Israel, officials say.",U.S.,"['Israel-Gaza War (2023- )', 'Palestinians', 'Kidnapping and Hostages', 'International Relations', 'United States Politics and Government', 'United States International Relations', 'Prisoners of War']"
Norfolk Southern Agrees to Try Out Federal Safety Reporting Program,2024-01-30T00:03:12+0000,https://www.nytimes.com/2024/01/29/us/politics/norfolk-southern-railroad-safety.html,"Norfolk Southern, the operator of the freight train carrying toxic chemicals that derailed in East Palestine, Ohio, nearly a year ago, has agreed to participate in a federal program that allows employees to report safety issues confidentially, the company and federal officials announced on Monday.",U.S.,"['Railroad Accidents and Safety', 'Railroads', 'East Palestine, Ohio, Train Derailment (Feb 3, 2023)', 'Workplace Hazards and Violations', 'United States Politics and Government']"
Aid Group Calls Halts in Funding for UNRWA ‘Reckless’,2024-01-30T07:25:46+0000,https://www.nytimes.com/2024/01/30/world/middleeast/unrwa-funding-idf-hamas.html,"Aid groups working in Gaza expressed dismay at the decision by some donor nations to suspend funding to the main U.N. agency operating in the territory, calling the move “reckless” at a moment when the humanitarian crisis there is rapidly getting worse.",World,"['Israel-Gaza War (2023- )', 'Palestinians', 'Humanitarian Aid', 'Refugees and Displaced Persons']"
The War the World Can’t See,2024-01-30T10:04:51+0000,https://www.nytimes.com/2024/01/30/world/middleeast/gaza-war-palestinian-journalists.html,"To many people outside Gaza, the war flashes by as a doomscroll of headlines and casualty tolls and photos of screaming children, the bloody shreds of somebody else’s anguish.",World,"['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Palestinians', 'News and News Media', 'Deaths (Fatalities)', 'Communications and Media Blackouts']"
"U.S. Weighs Retaliation After Strike in Jordan, and Farmers Lay ‘Siege’ to Paris",2024-01-30T11:06:31+0000,https://www.nytimes.com/2024/01/30/podcasts/drone-strike-farmers.html,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",Podcasts,"['Israel-Gaza War (2023- )', 'Drones (Pilotless Planes)', 'News and News Media', 'Video Recordings, Downloads and Streaming', 'Terrorism', 'Deaths (Fatalities)', 'Agriculture and Farming']"
What Iran Really Wants,2024-01-30T11:44:30+0000,https://www.nytimes.com/2024/01/30/briefing/iran-proxies-israel-gaza-red-sea.html,"Iran has emerged as the chief architect in multiple conflicts strafing the Middle East, from the Mediterranean to the Persian Gulf.",Briefing,"['internal-storyline-no', 'Israel-Gaza War (2023- )']"
"Israeli Forces Kill a Hamas Commander Inside a West Bank Hospital, Military Says",2024-01-30T12:26:03+0000,https://www.nytimes.com/2024/01/30/world/middleeast/israel-west-bank-hospital-raid-hamas.html,"Israeli forces stormed a Palestinian hospital in the occupied West Bank early Tuesday morning, killing three militants, including a commander in Hamas, according to the Israeli military and Palestinian officials.",World,"['War and Armed Conflicts', 'Israel-Gaza War (2023- )', 'Terrorism']"
Britain’s Foreign Secretary Signals Willingness to Recognize Palestinian State Sooner,2024-01-30T15:34:04+0000,https://www.nytimes.com/2024/01/30/world/middleeast/david-cameron-uk-palestinian-state.html,"David Cameron, Britain’s foreign secretary, has signaled that Britain is willing to move up conversations about formally recognizing a Palestinian state, saying that his country and other allies should show Palestinians “irreversible progress” toward that long-sought goal.",World,"['Israel-Gaza War (2023- )', 'Palestinians']"
Video Shows Gunmen Storming West Bank Hospital,2024-01-30T17:03:29+0000,https://www.nytimes.com/video/world/middleeast/100000009288913/west-bank-hospital.html,The Palestinian Authority Health Ministry released surveillance video that shows several armed Israeli forces dressed in civilian clothes inside Ibn Sina Specialized Hospital in Jenin.,World,['Palestinians']
Is It Safe to Travel to the Bahamas? Here’s What You Need to Know.,2024-01-30T17:08:58+0000,https://www.nytimes.com/2024/01/30/travel/bahamas-travel-advisory.html,"Drawn by clear turquoise waters and miles of white-sand beaches, around seven million travelers visit the Bahamas each year, but a new warning about increased violence on the island nation has raised alarm over the safety of visiting there.",Travel,"['Travel and Vacations', 'Crime and Criminals', 'Murders, Attempted Murders and Homicides', 'Gangs', 'Travel Warnings']"
Video Shows Gunmen Storming West Bank Hospital,2024-01-30T17:09:43+0000,https://www.nytimes.com/video/world/middleeast/100000009289125/israel-attack-west-bank-hospital.html,The Palestinian Authority Health Ministry released surveillance video that shows armed members of Israeli forces dressed in civilian clothes inside Ibn Sina Specialized Hospital in Jenin.,World,"['Defense and Military Forces', 'Palestinians', 'Hospitals']"
Israeli Military Confirms It Has Begun Flooding Hamas Tunnels,2024-01-30T19:28:17+0000,https://www.nytimes.com/2024/01/30/world/middleeast/israel-flooding-tunnels-hamas.html,"The Israeli military said Tuesday that it had begun pumping water into the vast network of tunnels beneath Gaza, which Hamas has used to launch attacks, store weapons and imprison Israeli hostages.",World,"['Israel-Gaza War (2023- )', 'Palestinians']"
Abolish the U.N.’s Palestinian Refugee Agency,2024-01-30T19:36:24+0000,https://www.nytimes.com/2024/01/30/opinion/unrwa-un-palestine-agency.html,United Nations agencies and officials are no strangers to scandal and infamy.,Opinion,"['Israel-Gaza War (2023- )', 'Palestinians', 'Refugees and Displaced Persons', 'Peace Process', 'Corruption (Institutional)']"
Israel Raids West Bank Hospital as Clashes Erupt With Hamas in Northern Gaza,2024-01-30T23:12:27+0000,https://www.nytimes.com/2024/01/30/world/middleeast/israel-hamas-gaza-west-bank.html,"One of the Israeli soldiers wore medical scrubs, another a white coat and surgical mask. Their team swept into the West Bank hospital brandishing rifles, took up positions by the waiting-room chairs, then entered a patient’s room and killed a Hamas commander.",World,"['Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Palestinians', 'Deaths (Fatalities)', 'Terrorism']"
Biden Says U.S. Response to Deadly Drone Strike in Jordan Has Been Decided,2024-01-30T23:37:47+0000,https://www.nytimes.com/2024/01/30/world/middleeast/biden-jordan-drone-strike-response.html,"President Biden said on Tuesday that he had decided on a U.S. response to the drone attack on a remote outpost in Jordan on Sunday that killed three American soldiers and injured more than 40 others, leaving unstated what that decision was. ",World,"['United States Defense and Military Forces', 'Drones (Pilotless Planes)', 'Israel-Gaza War (2023- )']"
"Frozen U.S. Spending for U.N. in Gaza Is Minimal, State Dept. Says",2024-01-31T00:44:21+0000,https://www.nytimes.com/2024/01/30/us/politics/aid-gaza-israel.html,"The State Department downplayed the significance on Tuesday of its decision to pause funding for the main U.N. aid agency in Gaza, explaining that it had already provided virtually all the money allocated by Congress for that purpose and that the Biden administration hoped the matter could be resolved quickly.",U.S.,"['Palestinians', 'Terrorism', 'Israel-Gaza War (2023- )', 'United States International Relations']"
"Corrections: Jan. 30, 2024",2024-01-31T03:44:44+0000,https://www.nytimes.com/2024/01/30/pageoneplus/corrections-jan-30-2024.html,"An article on Saturday about a United Nations investigation of claims that employees participated in the Oct. 7 attack misstated the number of people working for UNRWA. The agency has 13,000 employees in Gaza alone, not across the world.",Corrections,[]
Wednesday Briefing,2024-01-31T05:03:05+0000,https://www.nytimes.com/2024/01/31/briefing/israel-hospital-raid-eurozone.html,"Israeli soldiers raided the Ibn Sina Specialized Hospital in the northern West Bank city of Jenin, killing a Hamas commander. The raid took place as Israel confirmed that it had begun pumping seawater into the vast Hamas tunnel network beneath Gaza to flush out militants and had renewed fighting in northern Gaza.",Briefing,"['Israel-Gaza War (2023- )', 'Palestinians', 'Defense and Military Forces', 'Terrorism']"
‘We Are Not Very Far From an Explosion’,2024-01-31T10:02:42+0000,https://www.nytimes.com/2024/01/31/magazine/west-bank-palestinians-settlers.html,"One recent morning in Huwara, a Palestinian man maneuvered a front-end loader back and forth, clearing rocks and rubble that Israel Defense Forces soldiers had piled into a roadblock. Four young soldiers looked on, fingers tensed on triggers, as the machine’s claws heaved shattered masonry from clutching mud. A crowd of approving Palestinian onlookers gathered.",Magazine,"['Israel-Gaza War (2023- )', 'Israeli Settlements', 'Palestinians', 'Terrorism', 'Jews and Judaism', 'War Crimes, Genocide and Crimes Against Humanity']"
An Israeli Charity for Palestinians Grapples With Oct. 7 Attacks,2024-01-31T10:17:23+0000,https://www.nytimes.com/2024/01/31/world/middleeast/road-to-recovery-israel-charity-hamas-gaza.html,"Nearly every week for a decade, Iri Kassel picked up sick Palestinian children at Israel’s Erez border crossing with Gaza and drove them with their guardians to Israeli hospitals for treatment.",World,"['Nonprofit Organizations', 'Israel-Gaza War (2023- )', 'Palestinians']"
"An Impeachment Push, and a Militia’s Surprise Move",2024-01-31T11:00:11+0000,https://www.nytimes.com/2024/01/31/podcasts/homeland-security-secretary-israel-iraq.html,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",Podcasts,"['Layoffs and Job Reductions', 'Palestinians', 'Computers and the Internet', 'Social Media', 'International Relations', 'Impeachment']"
"Biden to Visit the Site of Train Derailment in East Palestine, Ohio",2024-01-31T15:34:57+0000,https://www.nytimes.com/2024/01/31/us/politics/biden-east-palestine-ohio-train.html,"President Biden will visit East Palestine, Ohio, in February to mark the first anniversary of the toxic derailment that plunged the small community into a health and environmental crisis, the White House announced on Wednesday.",U.S.,"['Railroad Accidents and Safety', 'East Palestine, Ohio, Train Derailment (Feb 3, 2023)', 'Hazardous and Toxic Substances']"
A federal judge dismisses a suit to block U.S. support of Israel — but urges Biden to re-examine his approach.,2024-02-01T00:53:17+0000,https://www.nytimes.com/2024/01/31/world/middleeast/joe-biden-israel-support.html,"A federal judge on Wednesday dismissed a lawsuit by Palestinian Americans who sought to force the White House to withdraw support for Israel’s bombardment of Gaza, as was widely expected based on constitutional precedent that only the political branches of U.S. government could determine foreign policy.",World,"['Palestinians', 'Israel-Gaza War (2023- )', 'United States Politics and Government', 'Palestinian-Americans']"
Israel’s Controlled Demolitions Are Razing Neighborhoods in Gaza,2024-02-01T05:01:01+0000,https://www.nytimes.com/interactive/2024/02/01/world/middleeast/Israel-gaza-war-demolish.html,"In addition to its aerial bombardment, Israeli ground forces have carried out a wave of large-scale detonations, destroying residential homes, schools and mosques across the strip.",World,['Israel-Gaza War (2023- )']
Choosing Rebirth Over Revenge After My Release From Gaza,2024-02-01T10:02:05+0000,https://www.nytimes.com/2024/02/01/opinion/gaza-war-holocaust-shoah.html,"In Israel, the Shoah, or Holocaust, has often been spoken of in recent years alongside tekumah, meaning rebirth, after the survivor generation chose to rebuild a nation rather than lose itself to grief and vengeance. Molded by that spirit, Israel became a refuge for Jews in danger the world over, and has healed its relationships with Germany and other nations that perpetrated or enabled the Holocaust.",Opinion,"['Israel-Gaza War (2023- )', 'Holocaust and the Nazi Era', 'Kidnapping and Hostages', 'Kibbutz Movement']"
Will ‘Cease-Fire Now’ Drown Out ‘Biden 2024’?,2024-02-01T10:02:27+0000,https://www.nytimes.com/2024/02/01/podcasts/biden-israel-war-approval.html,President Biden has started to switch gears into campaign mode.,Podcasts,"['Politics and Government', 'Presidential Election of 2024', 'internal-truncator']"
Netanyahu’s Bind: Compromising in Gaza or Holding On to Power at Home,2024-02-01T12:25:19+0000,https://www.nytimes.com/2024/02/01/world/middleeast/netanyahu-israel-gaza-politics-war.html,"Prime Minister Benjamin Netanyahu of Israel is fighting two parallel battles, one in Gaza and another at home — and neither is going according to plan.",World,"['Israel-Gaza War (2023- )', 'Palestinians', 'Politics and Government', 'Kidnapping and Hostages', 'Peace Process', 'International Relations', 'Defense and Military Forces']"
"The Road to 1948, and the Roots of a Perpetual Conflict",2024-02-01T15:20:02+0000,https://www.nytimes.com/interactive/2024/02/01/magazine/israel-founding-palestinian-conflict.html,How the decisions that led to the founding of Israel have brought unending conflict to the region.,Magazine,"['Israel-Gaza War (2023- )', 'Palestinians', 'Jews and Judaism', 'Holocaust and the Nazi Era', 'Zionism', 'Border Barriers', 'International Relations', 'Refugees and Displaced Persons']"
Defense Secretary Tries to Explain Why He Kept His Illness Secret,2024-02-01T16:34:33+0000,https://www.nytimes.com/2024/02/01/us/politics/defense-secretary-austin-cancer.html,"Defense Secretary Lloyd J. Austin III appeared at the lectern of the Pentagon briefing room on Thursday to take questions from reporters for the first time in more than a year, beginning what is expected to be a protracted period of explaining why he kept the public, and the president, in the dark for weeks about his prostate cancer and surgery.",U.S.,"['United States Defense and Military Forces', 'Prostate Gland', 'Israel-Gaza War (2023- )']"
Biden Orders Sanctions on 4 Israelis Over West Bank Violence,2024-02-01T17:10:02+0000,https://www.nytimes.com/2024/02/01/world/middleeast/biden-sanctions-israel-west-bank.html,"President Biden on Thursday ordered broad financial and travel sanctions on Israeli settlers accused of violent attacks on Palestinians in the West Bank, a forceful gesture aimed in part at Arab American voters in the United States who have expressed fury about the president’s backing of Israel’s war in Gaza.",World,"['Israel-Gaza War (2023- )', 'Palestinians', 'Israeli Settlements', 'United States International Relations', 'Presidential Election of 2024', 'United States Politics and Government', 'ARAB-AMERICANS', 'Embargoes and Sanctions', 'Executive Orders and Memorandums', 'Voting and Voters']"
"Corrections: Feb. 1, 2024",2024-02-01T18:29:51+0000,https://www.nytimes.com/2024/02/01/pageoneplus/corrections-feb-1-2024.html,"An article on Tuesday about the state of rail safety in the United States a year after a derailment in East Palestine, Ohio, reversed the rankings of the top two U.S. railroads, as measured by miles of track. BNSF is the largest, and Union Pacific is second.",Corrections,[]
Austin Says Iran Trains and Funds Militias Targeting U.S. Troops,2024-02-01T18:44:34+0000,https://www.nytimes.com/2024/02/01/us/politics/austin-iran-militias.html,Defense Secretary Lloyd J. Austin III stopped short on Thursday of blaming Iran for attacks that killed three U.S. service members on Sunday in Jordan but said that Tehran trained and funded the militia groups that have targeted American troops and commercial shipping in the Middle East.,U.S.,"['United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Israel-Gaza War (2023- )']"
Iran Tries to Avoid War With U.S. After Stoking Mideast Conflicts,2024-02-01T19:07:56+0000,https://www.nytimes.com/2024/02/01/world/middleeast/iran-us-war.html,"Iran’s Supreme National Security Council held an emergency meeting this week, deeply worried that the United States would retaliate after an Iran-aligned militia in Iraq killed three American soldiers and wounded more than 40 others in Jordan.",World,"['Palestinians', 'United States International Relations', 'Terrorism', 'Embargoes and Sanctions', 'Israel-Gaza War (2023- )', 'United States Defense and Military Forces']"
U.N. Officials Urge Nations to Resume UNRWA Funding,2024-02-01T20:30:47+0000,https://www.nytimes.com/video/world/middleeast/100000009293021/unrwa-funding-gaza.html,The United Nations said the suspension of funding for the U.N. Relief and Works Agency could threaten the lives of millions in Gaza.,World,"['Israel-Gaza War (2023- )', 'International Relations', 'Humanitarian Aid']"
Israel-Hamas Posts Cost 2 Doctors Their Jobs. Then Their Fates Diverged.,2024-02-01T21:24:31+0000,https://www.nytimes.com/2024/02/01/nyregion/nyu-langone-israel-firing.html,"Late last year, a major New York hospital system removed two doctors from their jobs for their social media postings about Israel and Hamas.",New York,"['Doctors', 'Social Media', 'Israel-Gaza War (2023- )', 'Ethics and Official Misconduct']"
"Schumer Plans Vote Next Week on Border and Ukraine Deal, but Prospects Are in Doubt",2024-02-01T22:54:25+0000,https://www.nytimes.com/2024/02/01/us/politics/schumer-ukraine-border-immigration-senate.html,"Senator Chuck Schumer, Democrat of New York and the majority leader, said on Thursday that he would set up a test vote next week on a measure pairing an immigration crackdown with tens of billions of dollars in military assistance to Ukraine and Israel, but the package is facing a rough road with Republican resistance in both chambers.",U.S.,"['United States Politics and Government', 'Law and Legislation', 'Presidential Election of 2024', 'Illegal Immigration', 'Asylum, Right of', 'Russian Invasion of Ukraine (2022)', 'Foreign Aid', 'Defense and Military Forces']"
What to Know About the 4 Israelis Placed Under U.S. Sanctions Over West Bank Violence,2024-02-01T23:27:46+0000,https://www.nytimes.com/2024/02/01/world/middleeast/israel-settlers-west-bank-sanctions.html,"President Biden imposed financial sanctions on Thursday against four Israelis accused of escalating violence against civilians, intimidating civilians or destroying property in the West Bank.",World,"['Israel-Gaza War (2023- )', 'Embargoes and Sanctions', 'Palestinians']"
Gazan Cobblers Busy as Shoes Become Scarce,2024-02-02T08:47:00+0000,https://www.nytimes.com/video/world/middleeast/100000009294071/gazan-cobblers-demand-shoe-prices.html,Shoes have worn out quickly for many Gazans who have had to trek through rubble and walk for hours to flee the violence.,World,"['Israel-Gaza War (2023- )', 'Shoes and Boots', 'Palestinians', 'Refugees and Displaced Persons']"
"In the West Bank, Palestinians Struggle to Adjust to a New Reality",2024-02-02T10:01:51+0000,https://www.nytimes.com/2024/02/02/world/middleeast/west-bank-palestine-israel.html,"At one of the main checkpoints between the West Bank and Jerusalem, only two of four lanes were open recently and the hours of operation were shortened to 12 hours a day.",World,"['Israel-Gaza War (2023- )', 'Palestinians', 'Israeli Settlements', 'Defense and Military Forces', 'internal-truncator']"
A Big Strategic Realignment in the Middle East May Be Coming,2024-02-02T10:03:03+0000,https://www.nytimes.com/2024/02/02/opinion/biden-doctrine-mideast-realignment.html,"In this audio essay, the columnist Thomas L. Friedman proposes a three-pronged strategy for the president to address the widening crisis in the Middle East, which he calls the “Biden Doctrine.” The approach would focus on retaliating against Iran’s proxies in the region and supporting a Palestinian state. If successful, Friedman believes this plan could lead to the creation of a “credible, legitimate, effective, demilitarized Palestinian state that can live in peace and security with Israel.”",Opinion,"['United States International Relations', 'Palestinians', 'Israel-Gaza War (2023- )', 'Terrorism', 'audio-neutral-informative', 'internal-truncator']"
Could a Giant Parasol in Outer Space Help Solve the Climate Crisis?,2024-02-02T10:03:27+0000,https://www.nytimes.com/2024/02/02/climate/sun-shade-climate-geoengineering.html,"It’s come to this. With Earth at its hottest point in recorded history, and humans doing far from enough to stop its overheating, a small but growing number of astronomers and physicists are proposing a potential fix that could have leaped from the pages of science fiction: The equivalent of a giant beach umbrella, floating in outer space.",Climate,"['Sun', 'Radiation', 'Global Warming', 'Greenhouse Gas Emissions', 'Space and Astronomy', 'Research', 'Geoengineering']"
Over 800 Officials in U.S. and Europe Sign Letter Protesting Israel Policies,2024-02-02T11:00:09+0000,https://www.nytimes.com/2024/02/02/us/politics/protest-letter-israel-gaza.html,"More than 800 officials in the United States, the United Kingdom and the European Union released a public letter of dissent on Friday against their governments’ support of Israel in its war in Gaza.",U.S.,"['Israel-Gaza War (2023- )', 'Palestinians', 'International Relations', 'United States International Relations', 'Human Rights and Human Rights Violations']"
"A Targeted Razing in Gaza, and a TikTok Standoff",2024-02-02T11:02:43+0000,https://www.nytimes.com/2024/02/02/podcasts/gaza-israel-tiktok.html,"The New York Times Audio app is home to journalism and storytelling, and provides news, depth and serendipity. If you haven’t already, download it here — available to Times news subscribers on iOS — and sign up for our weekly newsletter.",Podcasts,"['Computers and the Internet', 'Prisons and Prisoners', 'Social Media', 'Mobile Applications', 'Muslims and Islam', 'internal-truncator']"
How Closely Does Iran Control Its Proxy Forces? It Depends.,2024-02-02T16:10:15+0000,https://www.nytimes.com/2024/02/02/world/middleeast/iran-militias-israel.html,"Iran projects its military power through dozens of armed groups across the Middle East, but how much does it control their actions?",World,['Israel-Gaza War (2023- )']
Biden Pays Silent Tribute to Three U.S. Soldiers as American Forces Retaliate,2024-02-02T19:10:00+0000,https://www.nytimes.com/2024/02/02/us/politics/biden-soldiers-jordan.html,"President Biden honored three Army reservists killed in the Middle East as their bodies were returned to the United States on Friday in a silent, somber ceremony marking the first deaths under fire in a proxy war with Iranian-backed militias since Hamas’s Oct. 7 attack on Israel.",U.S.,"['United States Defense and Military Forces', 'Reserves (Military)', 'Deaths (Fatalities)', 'United States International Relations', 'United States Politics and Government']"
This Tech Titan Wants to Turn West Virginia Into a ‘Start-Up State’,2024-02-02T20:00:02+0000,https://www.nytimes.com/2024/02/02/opinion/west-virginia-john-chambers.html,"John Chambers grew up in West Virginia and went on to run what was once the world’s most valuable company, the computer networking firm Cisco Systems Inc. Now he is trying to help economically lagging West Virginia by making it a “start-up state” akin to Israel, which has been called the start-up nation. I interviewed Chambers recently about his hopes and the magnitude of the challenge.",Opinion,"['internal-sub-only-nl', 'Start-ups', 'Venture Capital']"
What Withholding Funds to UNRWA Means for Gaza,2024-02-02T22:18:54+0000,https://www.nytimes.com/2024/02/02/world/middleeast/how-unwra-funds-in-gaza.html,The main United Nations agency that provides food and services to Palestinians in the beleaguered Gaza Strip warned this week that it could soon run out of money after at least a dozen countries temporarily suspended funding amid accusations that some agency employees participated in the Oct. 7 terrorist attack on Israel.,World,"['Palestinians', 'International Relations', 'Israel-Gaza War (2023- )', 'Refugees and Displaced Persons', 'Humanitarian Aid']"
The U.S. Conducted Retaliatory Strikes in Iraq and Syria,2024-02-02T22:39:29+0000,https://www.nytimes.com/2024/02/02/briefing/us-strikes-iraq-syria-jobs-report.html,American forces today carried out a series of military strikes against Iranian forces and the militias that they back in half a dozen sites in Syria and Iraq.,Briefing,"['Israel-Gaza War (2023- )', 'United States Defense and Military Forces']"
U.S. Hits Back at Iran With More Than Just Airstrikes,2024-02-02T23:48:42+0000,https://www.nytimes.com/2024/02/02/us/politics/us-iran-sanctions-charges.html,"In the hours before the United States carried out strikes against Iran-backed militants on Friday, Washington hit Tehran with more familiar weapons: sanctions and criminal charges.",U.S.,"['United States International Relations', 'Terrorism', 'Embargoes and Sanctions', 'Israel-Gaza War (2023- )', 'Defense and Military Forces', 'Cyberattacks and Hackers', 'Cyberwarfare and Defense']"
